name,id,cuisine type,preptime,readytime,calories,steps
Hot Italian Giardiniera,10001,Italian,45m,2 d 2 h 45 m,233,"1)Place into a bowl the green and red peppers, jalapenos, celery, carrots, onion, and cauliflower. Stir in salt, and fill with enough cold water to cover. Place plastic wrap or aluminum foil over the bowl, and refrigerate overnight. 2)The next day, drain salty water, and rinse vegetables. In a bowl, mix together garlic, oregano, red pepper flakes, black pepper, and olives. Pour in vinegar and olive oil, and mix well. Combine with vegetable mixture, cover, and refrigerate for 2 days before using."
Italian Roast Beef,10002,Italian,15m,3h 45m,618,"1)Pour water into a large kettle, and add bouillon cubes. 2)Mix together the salt, garlic, Italian seasoning, black pepper, oregano, basil, and red pepper flakes on a large plate. Rub roast with 1/2 cup vegetable oil. Roll roast in seasoning mixture until well coated. Place the roast in the kettle along with any left over seasoning mixture and oil. 3)"
Addictive Sesame Chicken,10003,Chinese,30m,50m,740,"1)Combine the 2 tablespoons soy sauce, the dry sherry, dash of sesame oil, flour, 2 tablespoons cornstarch, 2 tablespoons water, baking powder, baking soda, and canola oil in a large bowl. Mix well; stir in the chicken. Cover and refrigerate for 20 minutes. 2)Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). 3)Combine the 1/2 cup water, chicken broth, vinegar, 1/4 cup cornstarch, sugar, 2 tablespoons soy sauce, 2 tablespoons sesame oil, red chili paste, and garlic in a small saucepan. Bring to a boil, stirring constantly. Turn heat to low and keep warm, stirring occasionally. 4)Fry the marinated chicken in batches until cooked through and golden brown, 3 to 5 minutes. Drain on paper towels. 5)Transfer the chicken to a large platter, top with sauce, and sprinkle with sesame seeds."
Naan,10004,Indian,30m,3h,211,"1)In a large bowl, dissolve yeast in warm water. Let stand about 10 minutes, until frothy. Stir in sugar, milk, egg, salt, and enough flour to make a soft dough. Knead for 6 to 8 minutes on a lightly floured surface, or until smooth. Place dough in a well oiled bowl, cover with a damp cloth, and set aside to rise. Let it rise 1 hour, until the dough has doubled in volume. 2)Punch down dough, and knead in garlic. Pinch off small handfuls of dough about the size of a golf ball. Roll into balls, and place on a tray. Cover with a towel, and allow to rise until doubled in size, about 30 minutes. 3)During the second rising, preheat grill to high heat. 4)At grill side, roll one ball of dough out into a thin circle. Lightly oil grill. Place dough on grill, and cook for 2 to 3 minutes, or until puffy and lightly browned. Brush uncooked side with butter, and turn over. Brush cooked side with butter, and cook until browned, another 2 to 4 minutes. Remove from grill, and continue the process until all the naan has been prepared."
Mexican Rice,10005,Mexican,20m,50m,233,"1)In a large saucepan, heat vegetable oil over a medium-low heat. Place the onions in the pan, and saute until golden. 2)Add rice to pan, and stir to coat grains with oil. Mix in green bell pepper, cumin, chili powder, tomato sauce, salt, garlic, saffron, and water. Cover, bring to a boil, and then reduce heat to simmer. Cook for 30 to 40 minutes, or until rice is tender. Stir occasionally."
Mexican Bean Salad,10006,Mexican,15m,1h 15m,334,"1)In a large bowl, combine beans, bell peppers, frozen corn, and red onion. 2)In a small bowl, whisk together olive oil, red wine vinegar, lime juice, lemon juice, sugar, salt, garlic, cilantro, cumin, and black pepper. Season to taste with hot sauce and chili powder. 3)Pour olive oil dressing over vegetables; mix well. Chill thoroughly, and serve cold."
Japanese Onion Soup,10007,Japanese,15m,1h,25,"1) In a large saucepan or stockpot, combine the celery, onion, carrot, ginger, garlic, and a few of the mushrooms. Add chicken stock, beef bouillon, and water. Place the pot over high heat, and bring to a rolling boil. When the mixture reaches boiling, cover, reduce heat to medium, and cook for 45 minutes. 2)Place all of the remaining mushrooms into a separate pot. When the boiling mixture is done, place a strainer over the pot with the mushrooms in it. Strain the cooked soup into the pot with the mushrooms. Discard strained materials. 3)Serve the broth with mushrooms in small porcelain bowls, and sprinkle fresh chives over the top. Use Asian soup spoons for an elegant effect."
Cucumber Sunomono,10008,Japanese,15m,1h 15m,27,"1) Cut cucumbers in half lengthwise and scoop out any large seeds. Slice crosswise into very thin slices. 2)In a small bowl combine vinegar, sugar, salt and ginger. Mix well. Place cucumbers inside of the bowl, stir so that cucumbers are coated with the mixture. Refrigerate the bowl of cucumbers for at least 1 hour before serving."
Daria's Slow Cooker Beef Stroganoff,10009,American,15m,8h15m,403,"1)Place the beef in the bottom of a slow cooker, and season with salt and pepper to taste. Place onion on top of beef, and then add mushroom soup, mushrooms, and water. Season with chives, garlic, Worcestershire sauce, and bouillon. 2)In a small bowl, mix together the wine with the flour. Pour over the beef. 3)Cover, and cook on Low for 6 to 7 hours. Stir in the sour cream and parsley, and continue cooking for 1 hour."
Chicken Katsu,10010,Japanese,10m,20m,297,"1)Season the chicken breasts on both sides with salt and pepper. Place the flour, egg and panko crumbs into separate shallow dishes. Coat the chicken breasts in flour, shaking off any excess. Dip them into the egg, and then press into the panko crumbs until well coated on both sides. 2)Heat 1/4 inch of oil in a large skillet over medium-high heat. Place chicken in the hot oil, and cook 3 or 4 minutes per side, or until golden brown."
